ID,Project Title,Owner,Owner Type,Status,Country,Assign To
4634,Al Murjan Private Villas Project,FMC Construction,Contractor,Postponed,Saudi Arabia,Ahmed Farawilo
4635,Al Murjan Private Villas Project,FMC Construction,Contractor,Postponed,Saudi Arabia,Radwa Ahmed
4636,Al Nahda Entertainment Complex,Consolidated Contractors Company,Contractor,Lose,Saudi Arabia,Ahmed Mosbah
4637,Al Nahda Entertainment Complex,Consolidated Contractors Company,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4638,AL Naheel Villas,First Projects,Owner,Lose,Saudi Arabia,Fatma Hesham
4639,Al Nakheel Villas,First Projects,Owner,Lose,Saudi Arabia,Faiza Ahmed
4640,Al Nakheel Villas,First Projects,Owner,Lose,Saudi Arabia,Fatma Hesham
4641,Al Nakheel Villas,First Projects,Owner,Lose,Saudi Arabia,Fatma Hesham
4642,Al Qirwan,AlSharif Group Holding,Contractor,Lose,Saudi Arabia,Mohamed Ali
4643,Al Rajhi Office Building Project,OZOD Contracting,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
4644,Al Rajhi Office Building Project,OZOD Contracting,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
4645,Al Rajhi Office Building Project,OZOD Contracting,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
4646,Al Rajhi Office Building Project,OZOD Contracting,Contractor,Sent,Saudi Arabia,Faiza Ahmed
4647,Al Rashid Villa,BSCC,Contractor,Sent,Saudi Arabia,Mohamed Ali
4648,Al Rashid Villa,BSCC,Contractor,Sent,Saudi Arabia,Mohamed Ali
4649,Al Rashid Villa,BSCC,Contractor,cold case,Saudi Arabia,Unassigned
4650,Al Rossais Tower,Bani Company,Contractor,Lose,Saudi Arabia,Unassigned
4651,Al Rossais Tower,Bani Company,Contractor,Lose,Saudi Arabia,Mohamed Ali
4652,Al Sahafa District Tower,Building Methods Contracting (BMC),Contractor,Lose,Saudi Arabia,Unassigned
4653,Al Sahafa District Tower,Building Methods Contracting (BMC),Contractor,Lose,Saudi Arabia,Faiza Ahmed
