ID,Project Title,Owner,Owner Type,Status,Country,Assign To
4823,Construction Village Housing Expansion,Shibh Al Jazira Contracting Company (SAJCO),Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4824,Create a central garden,Rabiah Garden,Contractor,cold case,Saudi Arabia,Unassigned
4825,Create a central garden,Rabiah Garden,Contractor,cold case,Saudi Arabia,Unassigned
4826,Create a central garden,Rabiah Garden,Contractor,cold case,Saudi Arabia,Unassigned
4827,Create a central garden,Rabiah Garden,Contractor,cold case,Saudi Arabia,Unassigned
4828,DAMMAM CONTAINER DEPOT,SAMMAN CONSTRUCTION,Contractor,Lose,Saudi Arabia,Fathy Keshk
4829,DAMMAM CONTAINER DEPOT,SAMMAN CONSTRUCTION,Contractor,Lose,Saudi Arabia,Ghaidaa Saad
4830,DAMMAM CONTAINER DEPOT,SAMMAN CONSTRUCTION,Contractor,Sent,Saudi Arabia,Mohamed Ali
4831,DAMMAM CONTAINER DEPOT,SAMMAN CONSTRUCTION,Contractor,Lose,Saudi Arabia,Nada Mohamed
4832,Dana Bay I.C Hotel,Karma Emaar,-,Lose,Saudi Arabia,Ahmed Mosbah
4833,Dana Bay I.C Hotel,Salem Balhamer Contracting co. Ltd,-,Lose,Saudi Arabia,Ghaidaa Saad
4834,Dana Bay I.C Hotel,Salem Balhamer Contracting co. Ltd,-,Lose,Saudi Arabia,Mahmoud Hassan
4835,Dana Bay I.C Hotel,Karma Emaar,-,Lose,Saudi Arabia,Nourhan Mohamed
4836,Dana Bay I.C Hotel,Karma Emaar,-,Lose,Saudi Arabia,Sherouk Ramdan
4837,Dana Bay I.C Hotel,Salem Balhamer Contracting co. Ltd,-,Lose,Saudi Arabia,Sherouk Ramdan
4838,Dar Al Tawhid Intercontinental Hotel,CPC,-,cold case,Saudi Arabia,Unassigned
4839,Dar Al Tawhid Intercontinental Hotel,CPC Holding Co,-,Sent,Saudi Arabia,Sherouk Ramdan
4840,Dar Al Tawhid Intercontinental Hotel,CPC Holding Co,-,Sent,Saudi Arabia,Sherouk Ramdan
4841,Dar Al Tawhid Intercontinental Hotel,CPC Holding Co,-,Sent,Saudi Arabia,Sherouk Ramdan
4842,DAVES HOT CHICKEN,Magdi AlNimr,-,Sent,Saudi Arabia,Ahmed Mosbah
4843,DAVES HOT CHICKEN,Magdi AlNimr,-,Sent,Saudi Arabia,Ghaidaa Saad
4844,DAVES HOT CHICKEN,Magdi AlNimr,-,Sent,Saudi Arabia,Nada Mohamed
4845,DAVES HOT CHICKEN,Magdi AlNimr,-,Sent,Saudi Arabia,Sherouk Ramdan
4846,DCB Project (Jeddah Airport),Projects Destinations Construction Co. - Wejhat,Contractor,Postponed,Saudi Arabia,Unassigned
4847,DCB Project (Jeddah Airport),Projects Destinations Construction Co. - Wejhat,Contractor,Postponed,Saudi Arabia,Unassigned
4848,DCB Project (Jeddah Airport),Projects Destinations Construction Co. - Wejhat,Contractor,Postponed,Saudi Arabia,Unassigned
4849,DCB Project (Jeddah Airport),Projects Destinations Construction Co. - Wejhat,Contractor,Postponed,Saudi Arabia,Unassigned
4850,Delta B,SAMA Construction,-,Postponed,Saudi Arabia,Unassigned
4851,Delta B,SAMA Construction,-,Sent,Saudi Arabia,Mohamed Ali
4852,Delta B,SAMA Construction,-,Postponed,Saudi Arabia,Mohamed Ali
4853,Delta B,SAMA Construction,-,Sent,Saudi Arabia,Mohamed Ali
4854,Design & Build of NEOM Coastal Guard Residential Village,Western Bainoona,-,Lose,Saudi Arabia,Unassigned
4855,Design & Build of NEOM Coastal Guard Residential Village,Western Bainoona,-,Sent,Saudi Arabia,Mohamed Ali
4856,Design & Build of NEOM Coastal Guard Residential Village,Western Bainoona,-,Sent,Saudi Arabia,Mohamed Ali
4857,Details HQ,ORAK,-,Sent,Saudi Arabia,Unassigned
4858,Details Tower,Wejhat Alarabia,-,Postponed,Saudi Arabia,Mohamed Ali
4859,Development project for the tuberculosis department of Al Madaya Health Center,EMC,Contractor,Lose,Saudi Arabia,Ahmed Mosbah
4860,Development project for the tuberculosis department of Al Madaya Health Center,EMC,Contractor,Sent,Saudi Arabia,Mohamed Ali
4861,Development project for the tuberculosis department of Al Madaya Health Center,EMC,Contractor,Sent,Saudi Arabia,Nada Mohamed
4862,Development project for the tuberculosis department of Al Madaya Health Center,EMC,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4863,DGII - Boulevard West District Southwest Area Arena Laminates,CPC Holding Co,-,cold case,Saudi Arabia,Unassigned
4864,DGII - Boulevard West District Southwest Area Arena Laminates,CPC Holding Co,-,cold case,Saudi Arabia,Unassigned
4865,DGII - Boulevard West District Southwest Area Arena Laminates,CPC Holding Co,-,cold case,Saudi Arabia,Unassigned
4866,DGII - Boulevard West District Southwest Area Arena Laminates,CPC Holding Co,-,cold case,Saudi Arabia,Unassigned
4867,Dhahrat Laban,???? ???? ??????? | RUMAAR,-,Lose,Saudi Arabia,Unassigned
4868,Diaar 25,Diaar,Owner,Sent,Saudi Arabia,Unassigned
4869,Diaar 25,Diaar,Owner,Sent,Saudi Arabia,Unassigned
4870,Diaar 25,Diaar,Owner,Sent,Saudi Arabia,Unassigned
4871,Dialysis center,AL MABANI AL UMUMIYYAH,Contractor,cold case,Saudi Arabia,Unassigned
4872,Dialysis center,AL MABANI AL UMUMIYYAH,Contractor,cold case,Saudi Arabia,Unassigned
4873,DIRAB ROAD PROJECT,Projects Destinations Construction Co. - Wejhat,Contractor,cold case,Saudi Arabia,Sherouk Ramdan
4874,DIRAB ROAD PROJECT,Projects Destinations Construction Co. - Wejhat,Contractor,cold case,Saudi Arabia,Sherouk Ramdan
4875,DIRAB ROAD PROJECT,Projects Destinations Construction Co. - Wejhat,Contractor,cold case,Saudi Arabia,Sherouk Ramdan
4876,DIRAB ROAD PROJECT,Projects Destinations Construction Co. - Wejhat,Contractor,Under Study,Saudi Arabia,Faiza Ahmed
4877,District Cooling Plant,Samah Contracting Company,-,cold case,Saudi Arabia,Unassigned
4878,Diyar Al-Saad Mosque,Lubna GCC,Contractor,Lose,Saudi Arabia,Unassigned
4879,Diyar Al-Saad Mosque,Lubna GCC,Contractor,cold case,Saudi Arabia,Unassigned
4880,Earth Hotel Project,Construction & Planning Co. Ltd. (C&P®),Contractor,Sent,Saudi Arabia,Fatma Hesham
4881,Earth Hotel Project,Construction & Planning Co. Ltd. (C&P®),Contractor,Sent,Saudi Arabia,Fatma Hesham
4882,Earth Hotel Project,Construction & Planning Co. Ltd. (C&P®),Contractor,Sent,Saudi Arabia,Fatma Hesham
4883,Earth Hotel Project,Construction & Planning Co. Ltd. (C&P®),Contractor,Under Study,Saudi Arabia,Unassigned
4884,Earth Living,CPC Holding Co,-,cold case,Saudi Arabia,Unassigned
4885,Earth Living,CPC Holding Co,-,Sent,Saudi Arabia,Nourhan Mohamed
4886,Earth Living,CPC Holding Co,-,Sent,Saudi Arabia,Nourhan Mohamed
4887,Earth Living,CPC Holding Co,-,Sent,Saudi Arabia,Nourhan Mohamed
4888,Egyptian Embassy Defense Office - Riyadh,Thabat Construction,Contractor,Lose,Saudi Arabia,Faiza Ahmed
4889,Egyptian Embassy Defense Office - Riyadh,Thabat Construction,Contractor,Lose,Saudi Arabia,Nourhan Mohamed
4890,Egyptian Embassy Defense Office - Riyadh,Thabat Construction,Contractor,Lose,Saudi Arabia,Nourhan Mohamed
4891,Egyptian Embassy Defense Office - Riyadh,Thabat Construction,Contractor,Lose,Saudi Arabia,Nourhan Mohamed
4892,El Muruj,ACACIA Real Estate,Contractor,cold case,Saudi Arabia,Unassigned
4893,Elchefaa,Binjarallah Group,-,Lose,Saudi Arabia,Sherouk Ramdan
4894,Elchefaa 2,Binjarallah Group,-,cold case,Saudi Arabia,Unassigned
4895,Elchefaa 2,Binjarallah Group,-,cold case,Saudi Arabia,Unassigned
4896,Elchefaa 2,Binjarallah Group,-,cold case,Saudi Arabia,Unassigned
4897,Elchefaa 2,Binjarallah Group,-,cold case,Saudi Arabia,Unassigned
4898,Engineering Department Building,Msandh Alemdad,Contractor,Sent,Saudi Arabia,Ahmed Mosbah
4899,Engineering Department Building,Msandh Alemdad,Contractor,Sent,Saudi Arabia,Mahmoud Hassan
4900,Engineering Department Building,Msandh Alemdad,Contractor,Sent,Saudi Arabia,Nada Mohamed
4901,Engineering Department Building,Msandh Alemdad,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
4902,ESCAN INTERNATIONAL OFFICES,ESCAN INTERNATIONAL,Contractor,Sent,Saudi Arabia,Fatma Hesham
4903,ESCAN INTERNATIONAL OFFICES,ESCAN INTERNATIONAL,Contractor,Sent,Saudi Arabia,Fatma Hesham
4904,ESCAN INTERNATIONAL OFFICES,ESCAN INTERNATIONAL,Contractor,Sent,Saudi Arabia,Fatma Hesham
4905,ESCAN INTERNATIONAL OFFICES,ESCAN INTERNATIONAL,Contractor,Sent,Saudi Arabia,Faiza Ahmed
4906,ESNAD HQ PROJECT,Construction & Planning Co. Ltd. (C&P®),Contractor,Lose,Saudi Arabia,Ahmed Mosbah
4907,ESNAD HQ PROJECT,Construction & Planning Co. Ltd. (C&P®),Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4908,ESNAD HQ PROJECT,Construction & Planning Co. Ltd. (C&P®),Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4909,ESNAD HQ PROJECT,Construction & Planning Co. Ltd. (C&P®),Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4910,Esri Project,Esri Project,Contractor,Sent,Saudi Arabia,Fatma Hesham
4911,Esri Project,Esri Project,Contractor,Sent,Saudi Arabia,Fatma Hesham
4912,Esri Project,Esri Project,Contractor,Under Study,Saudi Arabia,Unassigned
4913,establish sewage networks,Sawaed contruction,-,cold case,Saudi Arabia,Unassigned
4914,Establishing schools in Jalmuda district - Part 6,SATCO,Contractor,cold case,Saudi Arabia,Ahmed Farawilo
4915,Establishing schools in Jalmuda district - Part 6,SATCO,Contractor,cold case,Saudi Arabia,Ahmed Farawilo
4916,Establishing schools in Jalmuda district - Part 6,SATCO,Contractor,cold case,Saudi Arabia,Ahmed Farawilo
4917,Establishing trade showrooms,Benaa Al Jazebiya Trading Contracting Company,Contractor,cold case,Saudi Arabia,Unassigned
4918,Establishing trade showrooms,Benaa Al Jazebiya Trading Contracting Company,Contractor,cold case,Saudi Arabia,Fatma Hesham
4919,Establishing trade showrooms,Benaa Al Jazebiya Trading Contracting Company,Contractor,cold case,Saudi Arabia,Fatma Hesham
4920,Establishing trade showrooms,Benaa Al Jazebiya Trading Contracting Company,Contractor,cold case,Saudi Arabia,Fatma Hesham
4921,EXPO 2030 (Lot 2 & Lot 3),UNIMAC - United Maintenance and Contracting Company,-,cold case,Saudi Arabia,Unassigned
4922,EXPO 2030 (Lot 2 & Lot 3),UNIMAC - United Maintenance and Contracting Company,-,cold case,Saudi Arabia,Unassigned
4923,EXPO 2030 (Lot 2 & Lot 3),UNIMAC - United Maintenance and Contracting Company,-,cold case,Saudi Arabia,Unassigned
4924,EXPO 2030 (Lot 2 & Lot 3),UNIMAC - United Maintenance and Contracting Company,-,cold case,Saudi Arabia,Unassigned
4925,EZ Bank,Asass Construction,-,Postponed,Saudi Arabia,Unassigned
4926,EZ Bank,Asass Construction,-,Sent,Saudi Arabia,Unassigned
4927,EZ Bank,Asass Construction,-,Sent,Saudi Arabia,Unassigned
4928,EZ Bank,Asass Construction,-,cold case,Saudi Arabia,Unassigned
4929,Ezdihar Park,Horizons contracting,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4930,Ezdihar Park,Horizons contracting,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4931,Facility Management Oeration Center,NewFab,-,Postponed,Saudi Arabia,Unassigned
4932,Facility Management Oeration Center,NewFab,-,cold case,Saudi Arabia,Unassigned
4933,Financial District Project in the Administrative Capital,Bahaa for Construction,Contractor,cold case,Saudi Arabia,Unassigned
4934,Financial District Project in the Administrative Capital,Bahaa for Construction,Contractor,cold case,Saudi Arabia,Fatma Hesham
4935,Financial District Project in the Administrative Capital,Bahaa for Construction,Contractor,cold case,Saudi Arabia,Fatma Hesham
4936,Financial District Project in the Administrative Capital,Bahaa for Construction,Contractor,cold case,Saudi Arabia,Fatma Hesham
4937,FIT OUT TO SPARIMAM MOHAMED BIN SAUDI ISLAMIC UNIVERSITY STORE - KSA,Al Sadhan Group,-,Lose,Saudi Arabia,Faiza Ahmed
4938,FIT OUT TO SPARIMAM MOHAMED BIN SAUDI ISLAMIC UNIVERSITY STORE - KSA,Al Sadhan Group,-,Lose,Saudi Arabia,Mohamed Ali
4939,FIT OUT TO SPARIMAM MOHAMED BIN SAUDI ISLAMIC UNIVERSITY STORE - KSA,Al Sadhan Group,-,Lose,Saudi Arabia,Mohamed Ali
4940,FIT OUT TO SPARIMAM MOHAMED BIN SAUDI ISLAMIC UNIVERSITY STORE - KSA,Al Sadhan Group,-,Lose,Saudi Arabia,Mohamed Ali
4941,Flagieo,Aswaq Holding company AHC,-,Lose,Saudi Arabia,Mohamed Ali
4942,Flagieo,Aswaq Holding company AHC,-,Lose,Saudi Arabia,Mohamed Ali
4943,Flagieo,Aswaq Holding company AHC,-,Lose,Saudi Arabia,Mohamed Ali
4944,Flagieo,Aswaq Holding company AHC,-,Lose,Saudi Arabia,Unassigned
4945,Hassan Allam Holding,Hassan Allam Holding,-,Lose,Saudi Arabia,Fathy Keshk
4946,HAYZ Apartments,MASAH Specialized Construction Co.,-,cold case,Saudi Arabia,Unassigned
4947,Helipads at Khubash Hospitals,Awj International Contracting Co,-,cold case,Saudi Arabia,Unassigned
4948,Helipads at Khubash Hospitals,Awj International Contracting Co,-,cold case,Saudi Arabia,Unassigned
4949,Helipads at Khubash Hospitals,Awj International Contracting Co,-,cold case,Saudi Arabia,Unassigned
4950,Helipads at Khubash Hospitals,Awj International Contracting Co,-,cold case,Saudi Arabia,Unassigned
4951,Her Highness Princess Al Anoud.,Construct,Contractor,Lose,Saudi Arabia,Faiza Ahmed
4952,Her Highness Princess Al Anoud.,Construct,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4953,Her Highness Princess Al Anoud.,Construct,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4954,Hotel residential project,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Fatma Hesham
4955,Hotel residential project,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Fatma Hesham
4956,Hotel residential project,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Fatma Hesham
4957,Hotel residential project,Riyadh Villas Contracting Company,Contractor,cold case,Saudi Arabia,Unassigned
4958,Housing project in Medina,Future Concept Co,-,Lose,Saudi Arabia,Unassigned
4959,HRH Prince Mansour Family Residential Compound,BAUMAT,-,Under Study,Saudi Arabia,Unassigned
4960,HRH Prince Mansour Family Residential Compound,BAUMAT,-,Under Study,Saudi Arabia,Unassigned
4961,HRH Prince Mansour Family Residential Compound,BAUMAT,-,Under Study,Saudi Arabia,Unassigned
4962,HRH Prince Mansour Family Residential Compound,BAUMAT,-,cold case,Saudi Arabia,Unassigned
4963,IFFCO Factory,Bashaer Al-Benaa,Contractor,Lose,Saudi Arabia,Fathy Keshk
4964,IFFCO Factory,Bashaer Al-Benaa,Contractor,Lose,Saudi Arabia,Ghaidaa Saad
4965,IFFCO Factory,Bashaer Al-Benaa,Contractor,Lose,Saudi Arabia,Mahmoud Hassan
4966,IFFCO Factory,Bashaer Al-Benaa,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
4967,Imam Muhammad ibn Saud University Stadium,Profast,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
4968,Imam Muhammad ibn Saud University Stadium,Profast,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
4969,IMCPA Project,Vision Construction Company Ltd,-,cold case,Saudi Arabia,Unassigned
4970,IMCPA Project,Vision Construction Company Ltd,-,Sent,Saudi Arabia,Mohamed Ali
4971,IMCPA Project,Vision Construction Company Ltd,-,Sent,Saudi Arabia,Mohamed Ali
4972,IMCPA Project,Vision Construction Company Ltd,-,Sent,Saudi Arabia,Mohamed Ali
4973,INF Implementation of Sewage Line and Network in Al Mahd Governorate,Saudi Elaf Company,-,cold case,Saudi Arabia,Unassigned
4974,INF Implementation of Sewage Line and Network in Al Mahd Governorate,Saudi Elaf Company,-,cold case,Saudi Arabia,Sherouk Ramdan
4975,INFECTION CONTROL CENTER,Arabian Furniture and Design,-,cold case,Saudi Arabia,Unassigned
4976,INFECTION CONTROL CENTER,Arabian Furniture and Design,-,cold case,Saudi Arabia,Unassigned
4977,INFECTION CONTROL CENTER,Arabian Furniture and Design,-,cold case,Saudi Arabia,Unassigned
4978,INFECTION CONTROL CENTER,Arabian Furniture and Design,-,cold case,Saudi Arabia,Unassigned
4979,"Infrastructure Work at BANAN City Project,",Thabat Construction,Contractor,Lose,Saudi Arabia,Mohamed Ali
4980,Irrigation tank,Binjarallah Group,-,Lose,Saudi Arabia,Sherouk Ramdan
4981,Irrigation tank,Binjarallah Group,-,Lose,Saudi Arabia,Sherouk Ramdan
4982,ISLAMIC WORLD DISTRICT PHASE 1- CLUSTER 2,Tadmur Arabia Company LLC,-,cold case,Saudi Arabia,Unassigned
4983,ISLAMIC WORLD DISTRICT PHASE 1- CLUSTER 2,Tadmur Arabia Company LLC,-,cold case,Saudi Arabia,Unassigned
4984,ISLAMIC WORLD DISTRICT PHASE 1- CLUSTER 2,Tadmur Arabia Company LLC,-,cold case,Saudi Arabia,Unassigned
4985,ISLAMIC WORLD DISTRICT PHASE 1- CLUSTER 2,Tadmur Arabia Company LLC,-,cold case,Saudi Arabia,Unassigned
4986,Jadaya Khuzam,Pan kingdom,-,cold case,Saudi Arabia,Unassigned
4987,Jadaya Khuzam,Pan kingdom,-,cold case,Saudi Arabia,Unassigned
4988,Jadaya Khuzam,Pan kingdom,-,cold case,Saudi Arabia,Unassigned
4989,Jadaya Khuzam,Pan kingdom,-,cold case,Saudi Arabia,Unassigned
4990,Jaddeh HQ,Q Development,Contractor,Lose,Saudi Arabia,Faiza Ahmed
4991,Jaddeh HQ,Q Development,Contractor,Lose,Saudi Arabia,Nourhan Mohamed
4992,Jaddeh HQ,Q Development,Contractor,Lose,Saudi Arabia,Nourhan Mohamed
4993,Jeddah HQ,Q Development,Contractor,Lose,Saudi Arabia,Nourhan Mohamed
4994,Jeddah Tahlia Gate Towers,Arail Construction & Industrial Co. Ltd.,-,Lose,Saudi Arabia,Fathy Keshk
4995,Jeddah Tahlia Gate Towers,Arail Construction & Industrial Co. Ltd.,-,Lose,Saudi Arabia,Mohamed Ali
4996,Jeddah Tahlia Gate Towers,Arail Construction & Industrial Co. Ltd.,-,Lose,Saudi Arabia,Mohamed Ali
4997,Jeddah Tahlia Gate Towers,Arail Construction & Industrial Co. Ltd.,-,Lose,Saudi Arabia,Mohamed Ali
4998,Jizan Air Factory,Al-Rajhi Building and Construction,-,cold case,Saudi Arabia,Unassigned
4999,Jubail,PowerChina,-,cold case,Saudi Arabia,Mohamed Ali
5000,KAEC,Creet International Contracting Co. Ltd,-,Sent,Saudi Arabia,Nourhan Mohamed
5001,KAFD,SBCM,Contractor,cold case,Saudi Arabia,Unassigned
5002,KAFD,SBCM,Contractor,cold case,Saudi Arabia,Unassigned
5003,KAFD,SBCM,Contractor,cold case,Saudi Arabia,Unassigned
5004,KAFD,SBCM,Contractor,cold case,Saudi Arabia,Unassigned
5005,KAFD,SBCM,Contractor,cold case,Saudi Arabia,Unassigned
5006,"KAFD - A07 Offices, Park, Monorail Station and Car Parking Project",AL SAAD GENERAL CONTRACTING,Contractor,cold case,Saudi Arabia,Unassigned
5007,"KAFD - A07 Offices, Park, Monorail Station and Car Parking Project",AL SAAD GENERAL CONTRACTING,Contractor,cold case,Saudi Arabia,Unassigned
5008,"KAFD - A07 Offices, Park, Monorail Station and Car Parking Project",AL SAAD GENERAL CONTRACTING,Contractor,cold case,Saudi Arabia,Unassigned
5009,"KAFD - A07 Offices, Park, Monorail Station and Car Parking Project",AL SAAD GENERAL CONTRACTING,Contractor,Under Study,Saudi Arabia,Unassigned
5010,KFICRS Museum,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Faiza Ahmed
5011,KFICRS Museum,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
5012,KFICRS Museum,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
5013,Khobar Downtown,Abdulmohsen Al-Tamimi Group,Contractor,Postponed,Saudi Arabia,Unassigned
5014,Khobar Downtown,Abdulmohsen Al-Tamimi Group,Contractor,Postponed,Saudi Arabia,Unassigned
5015,Khuzama,Khuzama,-,Postponed,Saudi Arabia,Unassigned
5016,Khuzama,Khuzama,-,Postponed,Saudi Arabia,Unassigned
5017,Khuzama,Khuzama,-,Sent,Saudi Arabia,Unassigned
5018,Khuzama,Khuzama,-,cold case,Saudi Arabia,Unassigned
5019,King Abdul Aziz Road Project 2,China State Construction,Contractor,Under Study,Saudi Arabia,Unassigned
5020,King Abdul Aziz Road Project 2,China State Construction,Contractor,Under Study,Saudi Arabia,Unassigned
5021,King Abdul Aziz Road Project 2,China State Construction,Contractor,Under Study,Saudi Arabia,Unassigned
5022,King Abdul Aziz Road Project 2,China State Construction,Contractor,Under Study,Saudi Arabia,Unassigned
5023,King Abdulaziz Road Project,China State Construction,Contractor,Sent,Saudi Arabia,Mohamed Ali
5024,King Abdullah Financial District,SBCM,Contractor,Sent,Saudi Arabia,Faiza Ahmed
5025,King Abdullah Financial District,SBCM,Contractor,Sent,Saudi Arabia,Mohamed Ali
5026,King Abdullah Financial District,SBCM,Contractor,Sent,Saudi Arabia,Mohamed Ali
5027,King Abdullah Financial District,SBCM,Contractor,Sent,Saudi Arabia,Mohamed Ali
5028,King Fahad Tower,King Fahad Tower,-,Sent,Saudi Arabia,Mohamed Ali
5029,King Khalid University Mosque Project,Osus,-,Lose,Saudi Arabia,Unassigned
5030,King Salman Park,Nesma Partners,Contractor,cold case,Saudi Arabia,Unassigned
5031,King Salman Park,Nesma Partners,Contractor,Lose,Saudi Arabia,Faiza Ahmed
5032,King Salman Park,Nesma Partners,Contractor,Lose,Saudi Arabia,Faiza Ahmed
5033,King Salman Park,SAMAMA HOLDING,Contractor,Lose,Saudi Arabia,Mohamed Ali
5034,King Salman Park,SAMAMA HOLDING,Contractor,Lose,Saudi Arabia,Mohamed Ali
5035,King Salman Park,SAMAMA HOLDING,Contractor,Lose,Saudi Arabia,Mohamed Ali
5036,King Salman University in Diriyah,Trispec Design & build,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
5037,King Salman University in Diriyah,Trispec Design & build,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
5038,King Salman University in Diriyah,Trispec Design & build,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
5039,King Salman University in Diriyah,Meras International,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
5040,King Salman University in Diriyah,Meras International,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
5041,King Salman University in Diriyah,Meras International,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
5042,King Salman University in Diriyah,Meras International,Contractor,Under Study,Saudi Arabia,Faiza Ahmed
5043,LABORATORY BUILDING GIRLS CAMPUS - JEDDAH,Bait El Galeed,Contractor,cold case,Saudi Arabia,Nourhan Mohamed
5044,Lavie Yard Residential Project,Zood Real Estate,Owner,Sent,Saudi Arabia,Faiza Ahmed
5045,Lavie Yard Residential Project,Zood Real Estate,Owner,Sent,Saudi Arabia,Mohamed Ali
5046,Lavie Yard Residential Project,Zood Real Estate,Owner,Sent,Saudi Arabia,Mohamed Ali
5047,Lavie Yard Residential Project,Zood Real Estate,Owner,Sent,Saudi Arabia,Mohamed Ali
5048,Laysen Valley,Ramz Kayan,-,Under Study,Saudi Arabia,Unassigned
5049,Lemar,AICC,Contractor,Lose,Saudi Arabia,Ahmed Mosbah
5050,Lemar,AICC,Contractor,Lose,Saudi Arabia,Ghaidaa Saad
5051,Lemar,AICC,Contractor,Lose,Saudi Arabia,Mohamed Ali
5052,Lemar,AICC,Contractor,Lose,Saudi Arabia,Nourhan Mohamed
5053,LOCAL MOSQUE (LM1),SHAR,Contractor,Sent,Saudi Arabia,Ahmed Mosbah
5054,LOCAL MOSQUE (LM1),SHAR,Contractor,Sent,Saudi Arabia,Ghaidaa Saad
5055,LOCAL MOSQUE (LM1),SHAR,Contractor,Sent,Saudi Arabia,Mohamed Ali
5056,LOCAL MOSQUE (LM1),SHAR,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
5057,MADAREK,MADAREK,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
5058,MADAREK,MADAREK,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
5059,MADAREK,MADAREK,Contractor,Done To Review,Saudi Arabia,Nourhan Mohamed
5060,Madina Hotel,AL MABANI AL UMUMIYYAH,Contractor,Sent,Saudi Arabia,Ghaidaa Saad
5061,Madina Hotel,AL MABANI AL UMUMIYYAH,Contractor,Sent,Saudi Arabia,Mahmoud Hassan
5062,Madina Hotel,AL MABANI AL UMUMIYYAH,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
5063,Madina Hotel,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
5064,Madina Hotel,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
5065,Madina Hotel,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
5066,Madina Hotel,Riyadh Villas Contracting Company,Contractor,cold case,Saudi Arabia,Unassigned
5067,MAG Compound,OWN Real Estate,-,Sent,Saudi Arabia,Sherouk Ramdan
5068,MAG Compound,OWN Real Estate,-,Sent,Saudi Arabia,Sherouk Ramdan
5069,MAG Compound,OWN Real Estate,-,Sent,Saudi Arabia,Sherouk Ramdan
5070,MAG Compound,OWN Real Estate,-,Sent,Saudi Arabia,Faiza Ahmed
5071,MALQA PROJECT (Riyadh),Hashem Contracting,-,Postponed,Saudi Arabia,Unassigned
5072,MALQA PROJECT (Riyadh),Hashem Contracting,-,Postponed,Saudi Arabia,Unassigned
5073,Manager Villa,MARCO,-,Postponed,Saudi Arabia,Unassigned
5074,Manager Villa,MARCO,-,Postponed,Saudi Arabia,Unassigned
5075,Manager Villa,MARCO,-,Postponed,Saudi Arabia,Unassigned
5076,Manager Villa,MARCO,-,Under Study,Saudi Arabia,Unassigned
5077,MARAMI Factory,Bait El Galeed,-,Sent,Saudi Arabia,Fatma Hesham
5078,MASAR,Trispec Design & build,-,Sent,Saudi Arabia,Mohamed Ali
5079,MASAR,Trispec Design & build,-,Sent,Saudi Arabia,Mohamed Ali
5080,MASAR,Trispec Design & build,-,Sent,Saudi Arabia,Mohamed Ali
5081,MASAR,Trispec Design & build,-,Postponed,Saudi Arabia,Radwa Ahmed
5082,MASAR 1,REKAN,-,cold case,Saudi Arabia,Unassigned
5083,MASAR 1,REKAN,-,cold case,Saudi Arabia,Unassigned
5084,MASAR 1,REKAN,-,cold case,Saudi Arabia,Unassigned
5085,MASAR 1,REKAN,-,Under Study,Saudi Arabia,Unassigned
5086,MASAR 2,REKAN,-,cold case,Saudi Arabia,Unassigned
5087,MASAR 2,REKAN,-,cold case,Saudi Arabia,Unassigned
5088,MASAR 2,REKAN,-,Under Study,Saudi Arabia,Unassigned
5089,Masar Bus Station Project,Levels Contracting,-,cold case,Saudi Arabia,Unassigned
5090,Masar Bus Station Project,Levels Contracting,-,cold case,Saudi Arabia,Unassigned
5091,MASAR Mall,Hamat Holding Company,-,cold case,Saudi Arabia,Unassigned
5092,MBC STUDIO PROJECT,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
